0,Piperacillin-tazobactam 4.5g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion Vancomycin Loading Dose + vancomycin 15mg/kg Aztreonam 2g IV q8h
1,Meropenem 1g IV Q8H extended infusion
2,Linezolid 600mg IV q12h
3,Tobramycin 7mg/kg IV Q24H 
4,Caspofungin 70mg IV ONCE + caspofungin 50 mg IV Q24H
5,Piperacillin-tazobactam 4.5g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion Aztreonam 2g IV q8hVancomycin Loading Dose + vancomycin 15mg/kg Linezolid 600mg IV Q12H Levofloxacin 750mg IV Q24H
6,Azithromycin 500mg IV Q24H
7,Tobramycin 5mg/kg IV Q24H 
8,Piperacillin-tazobactam 4.5g IV Q8H extended infusion  Meropenem 1g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion plus Metronidazole 500mg IV Q8H Aztreonam 2g iv q8h plus Metronidazole 500mg iv q8h Vancomycin Loading Dose + vancomycin 15mg/kg
9,Vancomycin Loading Dose + vancomycin 15mg/kgCefazolin 2g IV Q8H
10,Piperacillin-tazobactam 4.5g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion plus Metronidazole 500mg IV Q8H Aztreonam 2g iv q8h plus Metronidazole 500mg iv q8hVancomycin Loading Dose + vancomycin 15mg/kg
11,Piperacillin-tazobactam 4.5g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion plus Metronidazole 500mg IV Q8H  Aztreonam 2g iv Q8H plus Metronidazole 500mg iv q8hVancomycin Loading Dose + vancomycin 15mg/kg Linezolid 600mg IV Q12H± Clindamycin 600mg IV Q8H(use in combination with vancomycin for toxin suppression)
12,Ceftriaxone 2g IV Q12H Vancomycin Loading Dose + vancomycin 15mg/kg
13,Ampicillin 2g IV Q4H
14,Cefepime 2g iv q8h extended infusion Meropenem 2g IV Q8H extended infusion Aztreonam 2g iv Q8H plus Ciprofloxacin 400mg IV Q8HVancomycin Loading Dose + vancomycin 15mg/kg
15,Ertapenem 1g IV q24h Piperacillin-tazobactam 4.5g IV Q8H extended infusion Cefepime 2g IV Q8H extended infusion Aztreonam 2g IV Q8HVancomycin Loading Dose + vancomycin 15mg/kg 
16,Ceftriaxone 2g IV q24H plus Azithromycin 500mg IV q24h Ceftriaxone 2g IV q24H plus Doxycycline 100mg IV Q12H Levofloxacin 750mg IV q24hVancomycin Loading Dose (existing EPIC entry) + vancomycin 15mg/kg 
17,Ertapenem 1g IV q24h  Aztreonam 2g iv q8hVancomycin Loading Dose + vancomycin 15mg/kg 
18,Piperacillin-tazobactam 4.5g IV Q8H extended infusion Ertapenem 1g IV q24h Aztreonam 2g iv q8h plus Metronidazole 500mg iv q8hVancomycin Loading Dose + vancomycin 15mg/kg
19,Ceftriaxone 2g IV q24h Levofloxacin 750mg IV Q24H
20,Ceftriaxone 1g IV Q24H Ciprofloxacin 400mg IV Q12H
21,Ceftriaxone 1g IV Q24H Ciprofloxacin 400mg IV Q12HMetronidazole 500mg IV Q8H
22, Piperacillin-tazobactam 3.375g IV Q8H extended infusion  Meropenem 1g IV Q8H extended infusion Cefepime 1g IV Q6H plus Metronidazole 500mg IV Q8HVancomycin Loading Dose + vancomycin 15mg/kg
23,Piperacillin-tazobactam 4.5g IV Q8H extended infusionAztreonam 2g IV q8hVancomycin Loading Dose + vancomycin 15mg/kg
24,Meropenem 2g IV Q8H extended infusion
